
Ajout de fichierB1.txt | [sync_list] Fri Jun  4 11:50:06 2021

Ajout de fichierP1.txt | [sync_list] Fri Jun  4 11:50:06 2021

Fichier reçu. | [copy_list] Fri Jun  4 11:50:06 2021

Fichier reçu. | [copy_list] Fri Jun  4 11:50:06 2021

Ajout de fichierB2.txt | [sync_list] Fri Jun  4 11:50:11 2021

Fichier reçu. | [copy_list] Fri Jun  4 11:50:11 2021

Ajout de fichierB3.txt | [sync_list] Fri Jun  4 11:50:12 2021

Fichier reçu. | [copy_list] Fri Jun  4 11:50:12 2021

Modification de fichierB3.txt | [sync_list] Fri Jun  4 11:50:15 2021

Fichier reçu. | [copy_list] Fri Jun  4 11:50:15 2021

Ajout de fichierB4.txt | [sync_list] Fri Jun  4 11:50:17 2021

Fichier reçu. | [copy_list] Fri Jun  4 11:50:17 2021

Modification de fichierB4.txt | [sync_list] Fri Jun  4 11:50:20 2021

Fichier reçu. | [copy_list] Fri Jun  4 11:50:20 2021

Ajout de fichierB5.txt | [sync_list] Fri Jun  4 11:50:21 2021

Fichier reçu. | [copy_list] Fri Jun  4 11:50:21 2021

Modification de fichierB4.txt | [sync_list] Fri Jun  4 11:50:22 2021

Fichier reçu. | [copy_list] Fri Jun  4 11:50:22 2021

Ajout de fichierP1.txt | [sync_list] Fri Jun  4 12:05:24 2021

Erreur recontrée. | [copy_list] Fri Jun  4 12:05:24 2021

Ajout de fichierB1.txt | [sync_list] Fri Jun  4 12:05:24 2021

Erreur recontrée. | [copy_list] Fri Jun  4 12:05:24 2021

Modification de fichierB1.txt | [sync_list] Fri Jun  4 12:05:25 2021

Modification de fichierP1.txt | [sync_list] Fri Jun  4 12:05:30 2021

Ajout de fichierB1.txt | [sync_list] Fri Jun  4 12:06:06 2021

Fichier reçu. | [copy_list] Fri Jun  4 12:06:06 2021

Modification de fichierB1.txt | [sync_list] Fri Jun  4 12:06:08 2021

Erreur recontrée. | [copy_list] Fri Jun  4 12:06:08 2021

Modification de fichierB1.txt | [sync_list] Fri Jun  4 12:06:10 2021

Erreur recontrée. | [copy_list] Fri Jun  4 12:06:10 2021

Ajout de fichierP1.txt | [sync_list] Fri Jun  4 12:06:13 2021

Ajout de fichierP2.txt | [sync_list] Fri Jun  4 12:06:20 2021

Ajout de fichierB1.txt | [sync_list] Fri Jun  4 12:13:28 2021

Erreur recontrée. | [copy_list] Fri Jun  4 12:13:28 2021

Ajout de fichierP1.txt | [sync_list] Fri Jun  4 12:13:28 2021

Erreur recontrée. | [copy_list] Fri Jun  4 12:13:28 2021

Modification de fichierB1.txt | [sync_list] Fri Jun  4 12:13:29 2021

Erreur recontrée. | [copy_list] Fri Jun  4 12:13:29 2021

Ajout de fichierB2.txt | [sync_list] Fri Jun  4 12:13:30 2021

Erreur recontrée. | [copy_list] Fri Jun  4 12:13:30 2021

Modification de fichierB1.txt | [sync_list] Fri Jun  4 12:13:31 2021

Erreur recontrée. | [copy_list] Fri Jun  4 12:13:31 2021

Modification de fichierB2.txt | [sync_list] Fri Jun  4 12:13:32 2021

Erreur recontrée. | [copy_list] Fri Jun  4 12:13:32 2021

Modification de fichierB1.txt | [sync_list] Fri Jun  4 12:13:33 2021

Modification de fichierP1.txt | [sync_list] Fri Jun  4 12:13:34 2021

Ajout de fichierP2.txt | [sync_list] Fri Jun  4 12:13:40 2021

Modification de fichierP1.txt | [sync_list] Fri Jun  4 12:13:46 2021

Modification de fichierP2.txt | [sync_list] Fri Jun  4 12:13:47 2021

Modification de fichierP1.txt | [sync_list] Fri Jun  4 12:13:52 2021

Ajout de fichierP1.txt | [sync_list] Fri Jun  4 12:15:48 2021

Ajout de fichierB1.txt | [sync_list] Fri Jun  4 12:15:48 2021

Fichier reçu. | [copy_list] Fri Jun  4 12:15:48 2021

Fichier reçu. | [copy_list] Fri Jun  4 12:15:48 2021

Ajout de fichierB2.txt | [sync_list] Fri Jun  4 12:15:52 2021

Fichier reçu. | [copy_list] Fri Jun  4 12:15:52 2021

Ajout de fichierB3.txt | [sync_list] Fri Jun  4 12:15:55 2021

Erreur recontrée. | [copy_list] Fri Jun  4 12:15:55 2021

Ajout de fichierP2.txt | [sync_list] Fri Jun  4 12:15:59 2021

Ajout de fichierB1.txt | [sync_list] Fri Jun  4 12:21:46 2021

Ajout de fichierP1.txt | [sync_list] Fri Jun  4 12:21:46 2021

Fichier reçu. | [copy_list] Fri Jun  4 12:21:46 2021

Fichier reçu. | [copy_list] Fri Jun  4 12:21:46 2021

Ajout de fichierB2.txt | [sync_list] Fri Jun  4 12:21:50 2021

Fichier reçu. | [copy_list] Fri Jun  4 12:21:50 2021

Ajout de fichierB3.txt | [sync_list] Fri Jun  4 12:21:51 2021

Fichier reçu. | [copy_list] Fri Jun  4 12:21:51 2021

